Summer Camps,Legend:,Private,Red Highlight = Cancelled/ not currently active,* = COVID adjustment ,,,,,,,,
NCSSM Summer Ventures: UNC Wilmington,Summer Camp,Nonprofit,Nonprofit,North Carolina School of Science and Mathematics,,NC,Grades 10-11,High,,4 weeks,Free,
MSCU - There Must be an App for that! ,Summer Camp,University,University,North Carolina State University,,NC,Grades 11-12,High,,1 week,$925,
NC-MSEN Summer Scholars Program,Summer Camp,University,University,North Carolina State University,,NC,Grades 6-12,"Middle, High",,2 weeks,,
IT High School Internship Program,Summer Camp,University,University,"Omaha, NE",,NE,High School,High,30,8 weeks,Free,
The Jeffrey S. Raikes School of Computer Science and Management Summer Camp,Summer Camp,University,University,University of Nebraska,,NE,High School,High,,2 weeks,"$1,200",
Minecraft Game Design Master,Summer Camp,Private,Private,Concord,,NH,,,,1 week,$150,
Princeton - AI4ALL,Summer Camp,Private,AI4All,*Princeton,,NJ,Grade 11,High,,3 weeks,"$6,000",
EPIC - Elementary Programming,Summer Camp,University,University,*Princeton,,NJ,Ages 7-15,"Elementary, Middle, High",,5 days,,
Fairleigh Dickinson University AI Camp,Summer Camp,University,University,Fairleigh Dickinson University,,NJ,Grades 10-12,High,,2-4 weeks,$775 per course,
New Jersey Scholars Program,Summer Camp,Nonprofit,Nonprofit,New Jersey,,NJ,Grade 12,,,5 weeks,Free,
Introdution to Robotics with VEX IQ,Summer Camp,Private,Private,New Jersey,,NJ,Grades 4-8,"Elementary, Middle",,2 weeks,$420-$800,
New Jersey Governor's School of Engineering and Technology,Summer Camp,University,University,Rutgers University,,NJ,Grade 11,High,62-90,4 Weeks,Free,
Young Women in Computing,Summer Camp,University,University,Virtual,,"NM,  Virtual",Middle and High School Students,"Middle, High",60,1-2 weeks,Free,
CS Adventures Virtual Program,Summer Camp,University,University,Virtual,,"NM, Virtual",High School,High,30,12 days,Free,
Columbia University - AI4ALL,Summer Camp,Private,AI4All,*Columbia,Virtual,NY,Grade 10-11,High,,3 weeks,Free,
"Understanding Blockchain, AU, & Machine Learning",Summer Camp,University,University,*Columbia,Virtual,NY,High School,High,,5 days,"$2,546",
Cornell - Introduction to Robotics with Arduino,Summer Camp,University,University,*Cornell,Virtual,NY,Grade 10-12,High,,3 weeks,"$1,575",
NYU Tandon Machine Learning,Summer Camp,University,University,*NYU,Virtual,NY,High School,High,,2 weeks,"$2,000",
"NYU, Tisch School of the Arts - Game Center",Summer Camp,University,University,*NYU,Virtual,NY,,,,4 weeks,,
Syracuse: Cybersecurity - Hackathon Challenge,Summer Camp,University,University,*Syracuse,Virtual,NY,Grade 10-12,High,,3 & 6 Weeks,,
Columbia U - Matlab: Computer modeling for science and technology,Summer Camp,University,University,Columbia,,NY,High School,High,,3 weeks,"$6,010",
Computer Programming Camp,Summer Camp,University,University,Hofstra,,NY,Grades 2-10,"Elementary, Middle, High",,12 days,"$1,050",
Hofstra Robotics Summer Camp,Summer Camp,University,University,Hofstra University,,NY,Grades 2-10,"Elementary, Middle, High",,2 weeks,,
Blue Stamp Engineering: New York,Summer Camp,Private,Private,New York City,,NY,High School,High,,2-6 weeks,$1950-$4200,
AI Scholars (Inspirit AI): New York,Summer Camp,Private,Private,New York City,,NY,High School,High,,10 days,"$1,500",
Google CSSI Extension Queens College,Summer Camp,Private,BigTech,Queens College,Virtual,NY,Graduating Seniors,High,,4 Weeks,Free,
Stony Brook University - IACS Computes! HS Summer Camp,Summer Camp,University,University,Stony Brook,,NY,Grade 11-12,High,,10 days,$575,
Next Gen Bootcamp,Summer Camp,Private,Private Online,Virtual,,"NY, Virtual",High School,High,,30 Hours,"$1,295",
Coding: Learn to Code at Syracuse University,Summer Camp,University,University,Virtual,,"NY, Virtual",High School,High,,3 weeks,,
Cybersecurity: Hack-A-Thon Challenge at Syracuse,Summer Camp,University,University,Virtual,,"NY, Virtual",High School,High,,3 weeks,,
Ohio Supercomputer Center Summer Institute,Summer Camp,University,University,*Columbus,Cancelled for 2021,OH,Grades 9-11,High,,2 weeks,$526,
Lego Robot Camp,Summer Camp,Private,Private,Dublin,,OH,Ages 4-14,"Elementary, Middle, High",,5 days,$249-$495,
Data Science for Women Summer Camp,Summer Camp,University,University,Ohio State University,,OH,Grades 8-10,Middle,about 35 students,1 week,Free,
Techy Kids Summer Camp,Summer Camp,Private,Private,Oklahoma City,,OK,Grades K-7,"Elementary, Middle",,5 days,$250-$400,
Tulsa Stem Coding Camp,Summer Camp,Nonprofit,Nonprofit,Virtual,,"OK, Virtual",,,,5 days,Free,
Oregon Tech Lego Camp,Summer Camp,University,University,Oregon Institute of Technology,,OR,Grades 1-9,"Elementary, Middle",,5 days,$150-$175,
Blender Computing Camp,Summer Camp,University,University,Oregon State University ,,OR,Grades 9-12,High,,5 days,$160,
OSU Coding Camp,Summer Camp,University,University,Oregon State University ,,OR,Grades 4-5,Elementary,,5 days,$160,
OMSI Coding Bootcamp,Summer Camp,Nonprofit,Nonprofit,Portland,,OR,Grades 6-9,"Middle, High",,5 days,$315-$394,
OMSI Digital Bootcamp,Summer Camp,Nonprofit,Nonprofit,Portland,,OR,Grades 6-8,Middle,,5 days,$315-$394,
NW Advanced Programming Workshop,Summer Camp,University,University,Portland State University,,OR,High School,High,35,3 weeks,Free,
Bryn Mawr College - Alexa Café Program,Summer Camp,Private,Private,*Bryn Mawr,Virtual,PA,Age 10-15 girls,"Elementary, Middle, High",,,,
Carnegie Mellon - Summer Pre-College National High School Game Academy,Summer Camp,University,University,*Carnagie Mellon,Virtual,PA,Age 16-18,High,,3-6 weeks,$3626-$5510,
Carnegie Mellon University - AI4All,Summer Camp,Private,AI4All,*Carnegie Mellon,Virtual,PA,Grades 10-11,High,,3 weeks,Free,
Penn State Summer Enrichment Program,Summer Camp,University,University,*Penn State Harrisburg,Cancelled for 2021,PA,Grades 10-11,High,,2 weeks,Free?,
Engineering Summer Academy at Penn ,Summer Camp,University,University,*Philadelphia,Virtual,PA,College,Postsecondary,,3 weeks,"$4,850",
Emagination Computer Camps: Pennsylvania,Summer Camp,Private,Private Online,*Rosemont College,Virtual,PA,Age 8-17,"Elementary, Middle, High",,1-2 weeks,$895-$3095,
University of Pennsylvania - AI4All,Summer Camp,Private,AI4All,*University of Pennslvania ,Virtual,PA,Grades 9-10,High,,2 weeks,Free,
Penn Summer Coding Camp,Summer Camp,University,University,*University of Pennslvania ,Virtual,PA,Ages 14-18,High,,3 weeks,"$2,500",
Eastern Pennsylvania Robotics Alliance Camp,Summer Camp,Nonprofit,Nonprofit,Springfield,,PA,Grades K-12,"Elementary, Middle, High",,5 days,$495,
My Stem Academy: Coding with Lego EV3,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 4-5,Elementary,,5 days,$250,
My Stem Academy: Coole Projects with Lego Mindstorms,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 3-5,Elementary,,5 days,$250,
My Stem Academy: Design and Build with Lego,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 1-2,Elementary,,5 days,$250,
My Stem Academy: Design and Build with Lego WeDo,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 1-2,Elementary,,5 days,$250,
My Stem Academy: Fundamentals of STEM with VEX GO,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 2-3,Elementary,,5 days,$250,
My Stem Academy: SPIKE Prime LEGO Robotics,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 3-4,Elementary,,5 days,$250,
My Stem Academy: VEX IQ Robotics,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 6-8,Middle,,5 days,$250,
My Stem Academy: Video Game Design,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 5-6,"Elementary, Middle",,5 days,$250,
AI Summer camp at URI Library,Summer Camp,University,University,*University of Rhode Island,Virtual,RI,Grades 1+,"Elementary, Middle, High",15 students per camp,1 week,Free,
URI Computer Science Summer Camp,Summer Camp,University,University,*University of Rhode Island,Cancelled for 2020,RI,,,,1 week,$280-$350,
Partners for Minorities in Engineering and Computer Science,Summer Camp,University,University,*University of South Carolina,Virtual,SC,High School,High,,5 days,$75-$125,
iTeams Xtreme,Summer Camp,Nonprofit,Nonprofit,Hartsville,,SC,Grades 6-8,Middle,,5 days,Free,
The Challenger: Robot Camp,Summer Camp,Nonprofit,Nonprofit,Richland County,,SC,Ages 9-14,"Elementary, Middle, High",,4 days,$200,
The Challenger: Drone Academy,Summer Camp,Nonprofit,Nonprofit,Richland County,,SC,Ages 8-10,Elementary,,2 days,$100,
Carolina Masters Scholars,Summer Camp,University,University,University of South Carolina,,SC,Grades 6-12,"Middle, High",,5 days,$575-$975 ,
Summer STEM,Summer Camp,Nonprofit,Nonprofit,Virtual,,"SC, Virtual",Grades 6-10,"Middle, High",,1 week,$150,
South Dakota Governor's Camp,Summer Camp,University,University,*University of South Dakota,Cancelled for 2021,SD,Grades 6-9,"Middle, High",,1 Week,$555,
Python Programming on Raspberry Pi,Summer Camp,University,University,South Dakota Mines,,SD,Grades 8-12,"Middle, High",,4 days,$200,
South Dakota State Electrical Engineering and Computer Science Camp,Summer Camp,University,University,South Dakota State,,SD,Grades 11-12,High,,,,
Engineering Concepts Institute,Summer Camp,University,University,*Tennessee State University,Cancelled for 2020,TN,12th grade,High,150,4 weeks,$150,
ChaTech's Code Camp,Summer Camp,Nonprofit,Nonprofit,Chattanooga,,TN,Grades 8-12,"Middle, High",,5 days,Free,
Explorations in Engineering and Computing Camp,Summer Camp,university,university,Tennessee Tech University,,TN,12th grade,High,,1 week,Free,
Deep-Dive AI workshop,Summer Camp,University,University,*University of Texas at Dallas,Virtual,TX,High School,High,,9 Weeks,"$1,000",
AI bootcamp,Summer Camp,University,University,*University of Texas at Dallas,Virtual,TX,High School,High,,5 days,$250,
UT Austin Academy for Robotics,Summer Camp,University,University,*UT Austin,Virtual,TX,High School,High,,5 days,$799,
UT Austin Robotics Summer Camp,Summer Camp,University,University,*UT Austin,Virtual,TX,High School,High,,5 days,$799,
Rice Computer Engineering Design Academy,Summer Camp,University,University,Rice University,,TX,Grades 6-8,Middle,,5 days,$299,
Rice Emerson App Challenge,Summer Camp,University,University,Rice University,,TX,Grades 7-9,"Middle, High",,8 days,,
ESteam Learning Labs: Amazing Machenes,Summer Camp,Private,Private,Round Rock,,TX,Ages 5-8,Elementary,,5 days,$385,
ESteam Learning Labs: Battle Bots,Summer Camp,Private,Private,Round Rock,,TX,Ages 9-14,"Elementary, Middle, High",,5 days,$385,
ESteam Learning Labs: Spybotics,Summer Camp,Private,Private,Round Rock,,TX,Ages 9-14,"Elementary, Middle, High",,5 days,$385,
Texas A&M Game Worlds,Summer Camp,Private,Private,Texas A&M University ,,TX,Ages 13-18,"Middle, High",,1 week,"$2,023.65",
Clark Scholar Program,Summer Camp,University,University,Texas Tech,,TX,Age 17 +,High,,6 Weeks,Free,
University of Texas El Paso - AI4All,Summer Camp,Private,AI4All,University of Texas El Paso,,TX,Grades 10-11,High,,3 weeks,$25,
The University of Texas at Dallas Coding Camp,Summer Camp,University,University,UT Dallas,,TX,Grades 2-12,"Elementary, Middle, High",,1 week,$75-$250,
UT Austin Academy for All,Summer Camp,University,University,Virtual,,"TX, Virtual",Grade 10-12,High,,1 week,Free,
UT AustinAcademy for Women,Summer Camp,University,University,Virtual,,"TX, Virtual",Grade 10-12 girls,High,,1 week,Free,
iD Tech camps,Summer Camp,Private,ID Tech,"TX, WA, CO, OR, CA, IL, AZ, NV, NY, MA, CT, NJ, NH, VT, WI, IN, OH, GA, MN, AL, LA, KY, MI, TN, MO, ",Virtual,"TX, WA, CO, OR, CA, IL, AZ, NV, NY, MA, CT, NJ, NH, VT, WI, IN, OH, GA, MN, AL, LA, KY, MI, TN, MO, ",Ages 7-19,"Elementary, Middle, High",,1 week,$799-$1749,
Microsoft - DigiGirlz High Tech Camps,Summer Camp,Private,BigTech,*Multiple,Virtual,USA,Grade 6-12 girls,"Middle, High",,Varies,Free,
CSSI Google,Summer Camp,Private,BigTech,Multiple,,USA,Graduating Seniors,High,,3 weeks,Free,
ReadyAI Summer Camp,Summer Camp,Private,Private,US/ Online,,USA,Age 6-17,"Elementary, Middle, High",,1-8 weeks,,
codingKIDZ,Summer Camp,Private,Private Online,Virtual,,"USA, Virtual",Ages 5-15,"Elementary, Middle, High",,1 week,$150,
High School Python Game Development Camp,Summer Camp,University,University,The University of Utah,,UT,Grades 10-12,High,,5 days,$295,
Hi-GEAR Program,Summer Camp,University,University,The University of Utah,,UT,Grades 10-12,High,,1 week,,
Advanced Robotics,Summer Camp,University,University,University of Utah,,UT,Ages 7-9,Elementary,,5 days,$220,
Adventures in Robotics,Summer Camp,University,University,University of Utah,,UT,Ages 6-8,Elementary,,5 days,$220,
Coding for Video Games,Summer Camp,University,University,University of Utah,,UT,Ages 14-17,High,,5 days,$220,
Junior Robotics with Scratch,Summer Camp,University,University,University of Utah,,UT,Ages 8-10,Elementary,,5 days,$220,
Coding with Python,Summer Camp,University,University,University of Utah,,UT,Ages 9-17,"Elementary, Middle, High",,5 days,$215,
Arduino C+ Robotics,Summer Camp,University,University,University of Utah,,UT,Ages 12-14,"Middle, High",,5 days,$190,
Beginning Programming with Scratch,Summer Camp,University,University,University of Utah,,UT,Ages 12-14,"Middle, High",,5 days,$180,
Build Your Own Bot,Summer Camp,University,University,University of Utah,,UT,Ages 7-9,Elementary,,5 days,$180,
Simply Coding,Summer Camp,University,University,Utah Valley University,,UT,Ages 11+,"Middle, High",,5 days,$99,
C-Tech^2 Computers and Technology ,Summer Camp,University,University,*Virginia Tech,Virtual,VA,Grade 11-12 girls,High,,2 weeks,$200,
SciGenius: Drone Aviation,Summer Camp,Private,Private,Arlington,,VA,Grades PreK-8,"Elementary, Middle",,5 days,$200-$380,
SciGenius: Mission Moon Robotics,Summer Camp,Private,Private,Arlington,,VA,Grades PreK-8,"Elementary, Middle",,5 days,$200-$380,
SciGenius Lego: Drone and Robotics,Summer Camp,Private,Private,Hernon/Ashburn,,VA,Grades PreK-8,"Elementary, Middle",,5 days,$250-$375,
SciGenius Lego: Robotics and Engineering,Summer Camp,Private,Private,Hernon/Ashburn,,VA,Grades PreK-8,"Elementary, Middle",,5 days,$250-$375,
SciGenius Lego: Coding Camp,Summer Camp,Private,Private,Virtual,,"VA, Virtual",Ages 6-9,Elementary,,5 days,$250,
SciGenius Lego: Coding with Python,Summer Camp,Private,Private,Virtual,,"VA, Virtual",Ages 10-13,"Elementary, Middle",,5 days,$250,
SciGenius Lego: Game Design and App,Summer Camp,Private,Private,Virtual,,"VA, Virtual",Ages 6-13,"Elementary, Middle",,5 days,$250,
NOVA STEM Camp,Summer Camp,University,University,Virtual,,"VA, Virtual",Grades 4-12,"Elementary, Middle, High",,1 week,$98,
Creative Coders Summer Camp: Michigan,Summer Camp,Private,Private,6 locations + virtual,,Virtual,Ages 8-12,"Elementary, Middle",12 kids per class,15 hours,$249-$498,
Creative Coders Summer Camp: Ohio,Summer Camp,Private,Private,6 locations + virtual,,Virtual,Ages 8-12,"Elementary, Middle",12 kids per class,15 hours,$249-$498,
Creative Coders Summer Camp: Virtual,Summer Camp,Private,Private,6 locations + virtual,,Virtual,Ages 8-12,"Elementary, Middle",12 kids per class,15 hours,$249-$498,
Vision Programming camps,Summer Camp,Private,Private,Virtual,,Virtual,Age 7-17,"Elementary, Middle, High",,Varies,Varies,
education unlimited,Summer Camp,Private,Private Online,Virtual,,Virtual,Grade 4-12,"Elementary, Middle, High",,Varies,Varies,
IT Girl' Summer Series,Summer Camp,Nonprofit,Nonprofit,Virtual,,Virtual,Age 8-18 WOC,"Elementary, Middle, High",,4 Days,Free?,
Google Computer Science Summer Institute: Online,Summer Camp,Private,BigTech,Virtual,,Virtual,Graduating Seniors,High,,4 weeks,Free,
Girls Who Code Summer Immersion,Summer Camp,Nonprofit,Nonprofit,Virtual,,Virtual,High School,High,,2 weeks,Free,
Kode With Klossy,Summer Camp,Nonprofit,Nonprofit,Virtual,,Virtual,Age 13-18,"Middle, High",,2 Weeks,Free,
Lavner Education,Summer Camp,Private,Private,Virtual,,Virtual,Ages 7-12,"Elementary, Middle",,Varies,$274 per camp,
Digital Media Academy - AI and Machine Learning,Summer Camp,Private,Private Online,Virtual,,Virtual,Age 12-18,"Middle, High",,12 days,"$1,398",
"Code, Sleep, Repeat",Summer Camp,Private,Private Online,Virtual,,Virtual,Middle - High School,"Middle, High",,4 days,"$1,295",
ID Tech: Advanced Python Coding with Machene Learning and Cryptography,Summer Camp,Private,ID Tech,Virtual,,Virtual,Ages 13-18,"Middle, High",,2 weeks,"$1,149",
ID Tech: C++ Game Programming with Algorithms and AI,Summer Camp,Private,ID Tech,Virtual,,Virtual,Ages 13-18,"Middle, High",,2 weeks,"$1,149",
ID Tech: Hackathon: Team-Based App and game Development,Summer Camp,Private,ID Tech,Virtual,,Virtual,Ages 13-18,"Middle, High",,2 weeks,"$1,149",
Experience America The Game Experience,Summer Camp,Private,Private Online,Virtual,,Virtual,,,,5 days,$399,
C0DE EX,Summer Camp,Private,Private Online,Virtual,,Virtual,Ages 6-14,"Elementary, Middle, High",,5 days,$300,
AI Camp,Summer Camp,Private,Private Online,Virtual,,Virtual,Age 9-17,"Elementary, Middle, High",6 per class (Total?),3 weeks,,
Digital Media Academy - 3D Modeling & Design Summer camps,Summer Camp,Private,Private Online,Virtual,,Virtual,Age 9-18,"Elementary, Middle, High",,,,
Digital Media Academy - Coding and Programming,Summer Camp,Private,Private Online,Virtual,,Virtual,Age 9-18,"Elementary, Middle, High",,1 & 2 Weeks,,
Digital Media Academy - Made by Girls,Summer Camp,Private,Private Online,Virtual,,Virtual,Age 9-18,"Elementary, Middle, High",,1 week,,
Adanced Coder Camp,Summer Camp,University,University,*Vermont Tech,Suspended until further notice,VT,Grades 8-12,"Middle, High",,,$175,
Coder Camp for Girls,Summer Camp,University,University,*Vermont Tech,Suspended until further notice,VT,Grades 7-12,"Middle, High",,,$175,
Governor's Institute,Summer Camp,Nonprofit,Nonprofit,VT,,"VT, Virtual",High School,High,,8 days,Sliding Scale but $550 is suggested, 
DawgBytes,Summer Camp,University,University,*Paul G Allen School,Cancelled for 2020,WA,High School?,High,,2 weeks,Free,
Seattle University -AI4All,Summer Camp,Private,AI4All,*Seattle University,Virtual,WA,Grades 9-12,High,,2 weeks,$695,
University of Washington - Computer Science programs,Summer Camp,University,University,*University of Washington,Virtual,WA,Grades K-12,"Elementary, Middle, High",,,,
University of Washington - AI4All,Summer Camp,Private,AI4All,University of Washington,,WA,Grades 10-12,High,,2 weeks,Free,
Albalone Science Summer Camp,Summer Camp,University,University,University of Washington,,WA,High School,High,,4 days,Free,
Coding in Java,Summer Camp,University,University,University of Washington,,WA,High School,High,,2 weeks,$875,
ChangeMakers in Computing UW,Summer Camp,University,University,Virtual,,"WA, Virtual",High School,High,,4 week,Free,
UW Coding in Python I,Summer Camp,University,University,Virtual,,"WA, Virtual",Grades 9-12,High,,2 weeks,$950,
UW Introduction to Coding in Python,Summer Camp,University,University,Virtual,,"WA, Virtual",Grades 9-12,High,,2 weeks,$950,
UW Algorithmic Thinking: Programming Logic Fundamentals,Summer Camp,University,University,Virtual,,"WA, Virtual",Grades 9-12,High,,2 weeks,$875,
UW Coding in Java I,Summer Camp,University,University,Virtual,,"WA, Virtual",Grades 9-12,High,,2 weeks,$875,
Promoting Computational Science Initiative ,Summer Camp,University,University,*University of Wisconsin-Madison,Cancelled for 2021,WI,Grades 9-12,High,,6 days,Free,
WCATY Summer Transitional Enrichment Program,Summer Camp,University,University,*University of Wisconsin-Madison,Virtual,WI,Grades 6-8,Middle,,2 weeks,$700-$840,
WCATY Accelerated Learning Program ,Summer Camp,University,University,*University of Wisconsin-Madison,Virtual,WI,Grades 9-12,High,,3 weeks,$1600-$1920,
Tech Academy of Minnesota: Wisconsin,Summer Camp,Private,Private,51+ locations,,WI,Ages 4-15,"Elementary, Middle, High",over 300 camps,,,
Coding with Artificial Intelligence,Summer Camp,Nonprofit,Nonprofit,Virtual,,"WI, Virtual",Ages 9-12,"Elementary, Middle",,5 days,$260,
Wesleyan Summer Gifted Program,Summer Camp,University,University,*West Virgina Wesleyan College,Cancelled for 2021,WV,Grades 5-12,"Elementary, Middle, High",,2 weeks,"$1,300",
Code Breakers,Summer Camp,Nonprofit,Nonprofit,Science Museum of Western Virginia,,WV,Grades K-5,Elementary,,5 days,$225-$250,
Gold STEM Camp,Summer Camp,University,University,University of Wyoming,,WY,Grades 7-12,"Middle, High",,5 days,$450,